#########,---13----
hr_contract_reports,13.0
hr_contract_sign,13.0
hr_holidays_gantt_calendar,13.0
hr_payroll_expense,13.0
web_mobile,13.0
hr_appraisal,13.0
hr_contract_salary,13.0
hr_holidays_gantt,13.0
hr_payroll,13.0
hr_payroll_account,13.0
hr_payroll_account_sepa,13.0
hr_referral,13.0
web_dashboard,13.0
#########,---14.0---
product_unspsc,14.0
l10n_pe_edi,14.0
hr_contract_reports,14.0
hr_payroll,14.0
hr_payroll_account,14.0
hr_work_entry_contract,14.0
hr_work_entry_holidays,14.0
web_dashboard,14.0
#########,---15.0---
product_unspsc,15.0
l10n_pe_edi,15.0
hr_payroll,15.0
hr_payroll_account,15.0
hr_work_entry_contract,15.0
web_dashboard,15.0
web_cohort,15.0
#########,---16.0---
product_unspsc,16.0
l10n_pe_edi,16.0
l10n_pe_edi_stock,16.0
l10n_pe_edi_stock_20,16.0
hr_payroll,16.0
hr_payroll_account,16.0
hr_work_entry_contract_enterprise,16.0
#########,---17.0---
product_unspsc,17.0
l10n_pe_edi,17.0
l10n_pe_edi_stock,17.0
hr_payroll,17.0
hr_payroll_account,17.0
hr_work_entry_contract_enterprise,17.0
